onset	duration	sample	value
4.48	n/a	2240	244
5.38	n/a	2690	99
6.386	n/a	3193	150
7.408	n/a	3704	151
7.928	n/a	3964	12
8.744	n/a	4372	99
9.558	n/a	4779	150
10.58	n/a	5290	151
11.1	n/a	5550	13
11.74	n/a	5870	99
12.55	n/a	6275	150
13.572	n/a	6786	151
14.092	n/a	7046	23
14.776	n/a	7388	88
15.592	n/a	7796	150
16.614	n/a	8307	151
17.134	n/a	8567	11
17.824	n/a	8912	99
18.634	n/a	9317	150
19.656	n/a	9828	151
20.176	n/a	10088	23
20.968	n/a	10484	88
21.776	n/a	10888	150
22.798	n/a	11399	151
23.318	n/a	11659	21
24.644	n/a	12322	88
25.46	n/a	12730	150
26.48	n/a	13240	151
27	n/a	13500	11
27.836	n/a	13918	99
28.652	n/a	14326	150
29.672	n/a	14836	151
30.192	n/a	15096	23
31.136	n/a	15568	88
31.954	n/a	15977	150
32.974	n/a	16487	151
33.494	n/a	16747	21
34.548	n/a	17274	88
35.366	n/a	17683	150
36.386	n/a	18193	151
36.908	n/a	18454	21
38.096	n/a	19048	88
38.908	n/a	19454	150
39.928	n/a	19964	151
40.45	n/a	20225	13
41.196	n/a	20598	99
42.01	n/a	21005	150
43.032	n/a	21516	151
43.552	n/a	21776	22
44.676	n/a	22338	88
45.492	n/a	22746	149
48.514	n/a	24257	150
49.536	n/a	24768	151
50.056	n/a	25028	21
51.008	n/a	25504	88
51.818	n/a	25909	150
52.838	n/a	26419	151
53.358	n/a	26679	23
54.2	n/a	27100	88
55.01	n/a	27505	150
56.03	n/a	28015	151
56.55	n/a	28275	11
57.48	n/a	28740	99
58.292	n/a	29146	150
59.312	n/a	29656	151
59.832	n/a	29916	12
60.74	n/a	30370	99
61.554	n/a	30777	150
62.574	n/a	31287	151
63.094	n/a	31547	11
63.792	n/a	31896	99
64.606	n/a	32303	150
65.626	n/a	32813	151
66.146	n/a	33073	13
66.876	n/a	33438	99
67.688	n/a	33844	150
68.708	n/a	34354	151
69.228	n/a	34614	13
69.928	n/a	34964	99
70.74	n/a	35370	150
71.76	n/a	35880	151
72.28	n/a	36140	12
72.822	n/a	36411	99
73.632	n/a	36816	150
74.652	n/a	37326	151
75.172	n/a	37586	12
76.154	n/a	38077	99
76.964	n/a	38482	150
77.984	n/a	38992	151
78.506	n/a	39253	21
79.306	n/a	39653	88
80.116	n/a	40058	150
81.136	n/a	40568	151
81.658	n/a	40829	12
82.306	n/a	41153	99
83.118	n/a	41559	149
86.14	n/a	43070	150
87.16	n/a	43580	151
87.682	n/a	43841	12
88.85	n/a	44425	88
